3.182,219.0
4.469,293.0
0.96,607.0
3.703,196.0
0.748,297.0
2.802,224.0
4.029,162.0
3.56,261.0
3.812,832.0
3.827,262.0
3.363,300.0
4.137,855.0
0.764,672.0
1.851,635.0
0.528,768.0
3.289,241.0
1.104,786.0
4.342,924.0
4.96,187.0
2.715,393.0
0.772,621.0
4.45,154.0
1.951,418.0
0.338,857.0
0.872,645.0
2.914,221.0
1.08,215.0
2.343,379.0
4.651,867.0
3.571,265.0
3.682,889.0
2.777,662.0
1.989,745.0
4.062,280.0
3.352,858.0
3.823,152.0
0.493,249.0
4.11,839.0
0.937,972.0
1.221,782.0
0.681,310.0
2.917,257.0
5.015,293.0
2.798,808.0
0.948,658.0
2.911,715.0
0.646,908.0
4.103,265.0
4.858,257.0
0.446,809.0
5.131,804.0
2.17,388.0
4.671,565.0
3.628,611.0
1.407,625.0
4.517,947.0
3.996,129.0
4.381,842.0
3.514,889.0
3.93,184.0
4.616,257.0
1.544,746.0
0.464,262.0
3.733,924.0
4.342,557.0
3.77,748.0
4.701,788.0
3.932,576.0
0.333,284.0
3.738,905.0
0.503,728.0
0.85,200.0
4.894,295.0
0.937,834.0
1.061,625.0
4.463,823.0
1.437,261.0
0.652,599.0
2.461,413.0
4.886,915.0
4.361,940.0
0.733,879.0
0.599,655.0
3.863,767.0
1.124,272.0
0.832,353.0
1.299,926.0
3.938,837.0
3.669,945.0
2.785,426.0
4.868,654.0
3.71,971.0
3.732,664.0
4.701,237.0
1.561,282.0
0.472,245.0
4.716,320.0
4.214,563.0
3.747,255.0
0.829,241.0
2.848,854.0
3.446,784.0
1.067,909.0
1.034,566.0
5.154,779.0
4.185,728.0
3.013,211.0
1.989,745.0
1.887,213.0
1.362,685.0
3.796,639.0
1.63,743.0
4.704,813.0
3.543,184.0
4.97,210.0
0.997,833.0
3.268,175.0
0.702,915.0
0.784,866.0
0.498,724.0
4.216,596.0
4.15,548.0
4.924,241.0
1.31,137.0
4.694,885.0
1.491,938.0
0.455,172.0
1.733,612.0
5.033,291.0
1.421,756.0
3.396,666.0
4.84,333.0
2.206,369.0
3.599,553.0
3.469,829.0
3.39,771.0
3.826,849.0
3.034,748.0
0.385,226.0
4.515,172.0
4.921,784.0
1.349,339.0
1.076,238.0
3.538,784.0
4.597,580.0
1.539,608.0
